Price,Return
2018-01-03,0.006324843943783742
2018-01-04,0.004214905595779639
2018-01-05,0.006664060249236048
2018-01-08,0.0018287492457933485
2018-01-09,0.002263128445604501
2018-01-10,-0.0015295907385985963
2018-01-11,0.007296254169472771
2018-01-12,0.006518707103367438
2018-01-16,-0.003417934304345005
2018-01-17,0.009531727616735486
2018-01-18,-0.0016813551306837926
2018-01-19,0.004550066870120828
2018-01-22,0.008131049254760159
2018-01-23,0.0021217899998515755
2018-01-24,-0.0003879037027227916
2018-01-25,0.00042346509471746785
2018-01-26,0.011577685707816698
2018-01-29,-0.00662942241772535
2018-01-30,-0.010257371060156784
2018-01-31,0.000496962082265684
2018-02-01,-0.001135042453237256
2018-02-02,-0.02176990791822242
2018-02-05,-0.04182279846940007
2018-02-06,0.01970243281536055
2018-02-07,-0.005425111269385496
2018-02-08,-0.037508467062923545
2018-02-09,0.015021397735761166
2018-02-12,0.014684517515227258
2018-02-13,0.002487214679231853
2018-02-14,0.013496314052358516
2018-02-15,0.01275999709358766
2018-02-16,0.00029293173949596074
2018-02-20,-0.006260927518980108
2018-02-21,-0.004974264226469183
2018-02-22,0.0012959904387497279
2018-02-23,0.01593943001249931
2018-02-26,0.01161206549157856
2018-02-27,-0.012486502843516933
2018-02-28,-0.010129999582311089
2018-03-01,-0.014540431715188817
2018-03-02,0.005154808957029466
2018-03-05,0.011557922615640148
2018-03-06,0.0025349520592412578
2018-03-07,-0.0003665876342756613
2018-03-08,0.0048391341252063125
2018-03-09,0.017402270195356895
2018-03-12,-0.0012548775218831354
2018-03-13,-0.00646290849815212
2018-03-14,-0.005131484448631762
2018-03-15,-0.001089844469510326
2018-03-16,0.0010844951209978415
2018-03-19,-0.013530199106728702
2018-03-20,0.001700681138266047
2018-03-21,-0.0019195352288068346
2018-03-22,-0.024996855963655973
2018-03-23,-0.02131483637169196
2018-03-26,0.02735928177597846
2018-03-27,-0.017011836913862433
2018-03-28,-0.0029548364706786234
2018-03-29,0.012777642614772322
2018-04-02,-0.021584750159276633
2018-04-03,0.012817114705210741
2018-04-04,0.010699273246071783
2018-04-05,0.007891730676804709
2018-04-06,-0.022285694430777214
2018-04-09,0.0049284626025143385
2018-04-10,0.015900467673621188
2018-04-11,-0.005242528392022661
2018-04-12,0.008227133250636509
2018-04-13,-0.002932846986161697
2018-04-16,0.00822160523344917
2018-04-17,0.010698377261943115
2018-04-18,0.0007405163997713515
2018-04-19,-0.005548011940628705
2018-04-20,-0.008479013578435723
2018-04-23,-0.00015010488934386057
2018-04-24,-0.013467347252936301
2018-04-25,0.0024716295612292605
2018-04-26,0.010165550014461733
2018-04-27,0.0009391480070488623
2018-04-30,-0.007690829320257109
2018-05-01,0.0017768890366842705
2018-05-02,-0.006717313558075144
2018-05-03,-0.0022038691135316535
2018-05-04,0.012946404509456055
2018-05-07,0.0033834272782253816
2018-05-08,0.0
2018-05-09,0.009665682591455393
2018-05-10,0.009350728150687049
2018-05-11,0.003051022006278492
2018-05-14,0.0004765580279293413
2018-05-15,-0.006886897591225849
2018-05-16,0.004205041056650982
2018-05-17,-0.0008447480266230434
2018-05-18,-0.0025000485879642653
2018-05-21,0.007518562695180142
2018-05-22,-0.0027800824046811945
2018-05-23,0.002751069346188295
2018-05-24,-0.0020483811539863117
2018-05-25,-0.0023826582173808175
2018-05-29,-0.011501165764291832
2018-05-30,0.013344763887012112
2018-05-31,-0.006125854221497362
2018-06-01,0.009817619305811043
2018-06-04,0.0047513828776128975
2018-06-05,0.0007275155931321109
2018-06-06,0.008360722612509974
2018-06-07,-0.00010819971320552568
2018-06-08,0.0029562888560796807
2018-06-11,0.0013302403748691738
2018-06-12,0.0012922477191399384
2018-06-13,-0.0031911355480015446
2018-06-14,0.0025180727898683752
2018-06-15,-0.0012757055533935135
2018-06-18,-0.002057011121333052
2018-06-19,-0.003832713412451394
2018-06-20,0.0017059719721796984
2018-06-21,-0.006268659127023124
2018-06-22,0.0018230171242836768
2018-06-25,-0.013612774525825433
2018-06-26,0.0022138639235003144
2018-06-27,-0.008284234687581549
2018-06-28,0.005717529124660281
2018-06-29,0.001439845991156652
2018-07-02,0.0021378320954383856
2018-07-03,-0.003531217020366517
2018-07-05,0.008157877034525418
2018-07-06,0.008458001808528293
2018-07-09,0.009004519625752216
2018-07-10,0.0035988185013284824
2018-07-11,-0.007314860214899244
2018-07-12,0.009066106284534303
2018-07-13,0.0007875383621200882
2018-07-16,-0.0008941588306414783
2018-07-17,0.0040451437899668985
2018-07-18,0.002103723636066812
2018-07-19,-0.00377153134883379
2018-07-20,-0.0011429552433960266
2018-07-23,0.001859519456088865
2018-07-24,0.00503182455889406
2018-07-25,0.008522487748988228
2018-07-26,-0.0023590255574178487
2018-07-27,-0.00677628798963803
2018-07-30,-0.005223280070029257
2018-07-31,0.004929215437546874
2018-08-01,-0.0016709240567728267
2018-08-02,0.005447817189485837
2018-08-03,0.004284653123943771
2018-08-06,0.0036675129212551116
2018-08-07,0.0033023236961402525
2018-08-08,-0.0004199634134787189
2018-08-09,-0.001366235240605751
2018-08-10,-0.00669992292911703
2018-08-13,-0.0037438013987157737
2018-08-14,0.0063805642310901245
2018-08-15,-0.007467244230490722
2018-08-16,0.008091351841085892
2018-08-17,0.003520594445516334
2018-08-20,0.002139609875113191
2018-08-21,0.0023455573843320643
2018-08-22,-0.0005935485925853135
2018-08-23,-0.0013281603113638463
2018-08-24,0.00601883144008819
2018-08-27,0.00789503042212325
2018-08-28,0.00048332922375315945
2018-08-29,0.005380752165268232
