Price,Price
Ticker,SPY
Date,
2018-01-02,237.208251953125
2018-01-03,238.70855712890625
2018-01-04,239.71469116210938
2018-01-05,241.31216430664062
2018-01-08,241.7534637451172
2018-01-09,242.3005828857422
2018-01-10,241.92996215820312
2018-01-11,243.6951446533203
2018-01-12,245.28372192382812
2018-01-16,244.4453582763672
2018-01-17,246.7753448486328
2018-01-18,246.3604278564453
2018-01-19,247.48138427734375
2018-01-22,249.49366760253906
2018-01-23,250.02304077148438
2018-01-24,249.92605590820312
2018-01-25,250.03189086914062
2018-01-26,252.9266815185547
2018-01-29,251.2499237060547
2018-01-30,248.67276000976562
2018-01-31,248.7963409423828
2018-02-01,248.51394653320312
2018-02-02,243.10382080078125
2018-02-05,232.93653869628906
2018-02-06,237.5259552001953
2018-02-07,236.2373504638672
2018-02-08,227.37644958496094
2018-02-09,230.79196166992188
2018-02-12,234.1810302734375
2018-02-13,234.76348876953125
2018-02-14,237.9319305419922
2018-02-15,240.9679412841797
2018-02-16,241.0385284423828
2018-02-20,239.52940368652344
2018-02-21,238.33792114257812
2018-02-22,238.6468048095703
2018-02-23,242.45069885253906
2018-02-26,245.26605224609375
2018-02-27,242.2035369873047
2018-02-28,239.75001525878906
2018-03-01,236.26394653320312
2018-03-02,237.48184204101562
2018-03-05,240.2266387939453
2018-03-06,240.83560180664062
2018-03-07,240.747314453125
2018-03-08,241.91232299804688
2018-03-09,246.1221466064453
2018-03-12,245.81329345703125
2018-03-13,244.22462463378906
2018-03-14,242.9713897705078
2018-03-15,242.7065887451172
2018-03-16,242.9698028564453
2018-03-19,239.682373046875
2018-03-20,240.08999633789062
2018-03-21,239.62913513183594
2018-03-22,233.63916015625
2018-03-23,228.6591796875
2018-03-26,234.91513061523438
2018-03-27,230.91879272460938
2018-03-28,230.23646545410156
2018-03-29,233.1783447265625
2018-04-02,228.14524841308594
2018-04-03,231.0694122314453
2018-04-04,233.54168701171875
2018-04-05,235.38473510742188
2018-04-06,230.13902282714844
2018-04-09,231.27325439453125
2018-04-10,234.9506072998047
2018-04-11,233.7188720703125
2018-04-12,235.64170837402344
2018-04-13,234.9506072998047
2018-04-16,236.8822784423828
2018-04-17,239.41653442382812
2018-04-18,239.5938262939453
2018-04-19,238.26455688476562
2018-04-20,236.2443084716797
2018-04-23,236.20884704589844
2018-04-24,233.02774047851562
2018-04-25,233.60369873046875
2018-04-26,235.97840881347656
2018-04-27,236.2000274658203
2018-04-30,234.38345336914062
2018-05-01,234.7999267578125
2018-05-02,233.2227020263672
2018-05-03,232.70870971679688
2018-05-04,235.72145080566406
2018-05-07,236.5189971923828
2018-05-08,236.5189971923828
2018-05-09,238.80511474609375
2018-05-10,241.03811645507812
2018-05-11,241.77352905273438
2018-05-14,241.8887481689453
2018-05-15,240.22288513183594
2018-05-16,241.2330322265625
2018-05-17,241.0292510986328
2018-05-18,240.42666625976562
2018-05-21,242.2343292236328
2018-05-22,241.56089782714844
2018-05-23,242.22544860839844
2018-05-24,241.72927856445312
2018-05-25,241.1533203125
2018-05-29,238.37977600097656
2018-05-30,241.56089782714844
2018-05-31,240.0811309814453
2018-06-01,242.4381561279297
2018-06-04,243.59007263183594
2018-06-05,243.7672882080078
2018-06-06,245.80535888671875
2018-06-07,245.7787628173828
2018-06-08,246.50535583496094
2018-06-11,246.83326721191406
2018-06-12,247.15223693847656
2018-06-13,246.36354064941406
2018-06-14,246.98390197753906
2018-06-15,246.6688232421875
2018-06-18,246.1614227294922
2018-06-19,245.21795654296875
2018-06-20,245.63629150390625
2018-06-21,244.0964813232422
2018-06-22,244.54147338867188
2018-06-25,241.21258544921875
2018-06-26,241.74659729003906
2018-06-27,239.74391174316406
2018-06-28,241.11465454101562
2018-06-29,241.46182250976562
2018-07-02,241.97802734375
2018-07-03,241.12355041503906
2018-07-05,243.09060668945312
2018-07-06,245.14666748046875
2018-07-09,247.35409545898438
2018-07-10,248.24427795410156
2018-07-11,246.42840576171875
2018-07-12,248.6625518798828
2018-07-13,248.85838317871094
2018-07-16,248.6358642578125
2018-07-17,249.64163208007812
2018-07-18,250.16680908203125
2018-07-19,249.22329711914062
2018-07-20,248.93844604492188
2018-07-23,249.40135192871094
2018-07-24,250.6562957763672
2018-07-25,252.79251098632812
2018-07-26,252.1961669921875
2018-07-27,250.48721313476562
2018-07-30,249.17884826660156
2018-07-31,250.4071044921875
2018-08-01,249.9886932373047
2018-08-02,251.3505859375
2018-08-03,252.4275360107422
2018-08-06,253.3533172607422
2018-08-07,254.18997192382812
2018-08-08,254.08322143554688
2018-08-09,253.736083984375
2018-08-10,252.03607177734375
2018-08-13,251.09249877929688
2018-08-14,252.69461059570312
2018-08-15,250.80767822265625
2018-08-16,252.83705139160156
2018-08-17,253.72718811035156
2018-08-20,254.2700653076172
2018-08-21,254.86647033691406
2018-08-22,254.71519470214844
2018-08-23,254.37689208984375
2018-08-24,255.90794372558594
2018-08-27,257.9283447265625
2018-08-28,258.0530090332031
2018-08-29,259.4415283203125
2018-08-30,258.3911437988281
2018-08-31,258.4001159667969
2018-09-04,257.95501708984375
2018-09-05,257.2607727050781
2018-09-06,256.48638916015625
2018-09-07,255.98793029785156
2018-09-10,256.4330749511719
2018-09-11,257.27850341796875
2018-09-12,257.3409423828125
2018-09-13,258.8629455566406
2018-09-14,258.9073791503906
2018-09-17,257.5366516113281
2018-09-18,258.93414306640625
2018-09-19,259.2099914550781
2018-09-20,261.3106689453125
2018-09-21,261.0718078613281
2018-09-24,260.2046203613281
2018-09-25,259.9632873535156
2018-09-26,259.1853942871094
2018-09-27,259.9095458984375
2018-09-28,259.9363708496094
2018-10-01,260.8395080566406
